Gene_ID,Gene_Annotation ,Protein_Sequence_Length,mean_Similarity,NO_GOs ,Gos,Enzyme_Codes
g10775.t1,37s ribosomal protein mrp10,90,69.40%,1,C:ribosome,-
g10776.t1,Not Available,1386,,0,-,
g10777.t1,Not Available,393,,0,-,
g10778.t1,Not Available,407,,0,-,
g10779.t1,Not Available,265,,0,-,
g1078.t1,Not Available,153,,0,-,
g10780.t1,hypothetical protein [Podospora anserina S mat+],242,66.86%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10781.t1,artemis protein,744,66.85%,1,F:hydrolase activity,-
g10782.t1,-dichlorophenol 6-monooxygenase,604,75.50%,2,P:oxidation reduction; F:monooxygenase activity,-
g10783.t1,Not Available,386,,0,-,
g10784.t1,carboxypeptidase s,588,70.90%,2,P:proteolysis; F:metallocarboxypeptidase activity,EC:3.4.17.0
g10785.t1,Not Available,637,,0,-,
g10786.t1,dual specificity phosphatase,391,57.70%,5,F:protein tyrosine phosphatase activity; F:protein tyrosine/serine/threonine phosphatase activity; C:intracellular; P:peptidyl-tyrosine dephosphorylation; F:zinc ion binding,EC:3.1.3.48
g10787.t1,Not Available,134,,0,-,
g10788.t1,c2h2 finger domain,1355,56.70%,3,F:zinc ion binding; F:nucleic acid binding; C:intracellular,-
g10789.t1,Not Available,285,,0,-,
g1079.t1,Not Available,665,,0,-,
g10790.t1,Not Available,584,,0,-,
g10791.t1,Not Available,177,,0,-,
g10792.t1,Not Available,146,,0,-,
g10793.t1,initiation-specific alpha- -mannosyltransferase,159,83.85%,1,"F:transferase activity, transferring glycosyl groups",-
g10794.t1,homoserine o-acetyltransferase,1088,84.35%,3,C:cytoplasm; P:methionine biosynthetic process; F:homoserine O-acetyltransferase activity,EC:2.3.1.31
g10795.t1,copper amine oxidase,1215,67.55%,5,F:copper ion binding; P:oxidation reduction; F:quinone binding; F:amine oxidase activity; P:amine metabolic process,EC:1.4.3.21
g10796.t1,nudix family protein,829,70.50%,1,F:hydrolase activity,-
g10797.t1,hypothetical protein FOXB_00480 [Fusarium oxysporum Fo5176],316,53.45%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10798.t1,nudix domain-containing protein,415,72.55%,1,F:hydrolase activity,-
g10799.t1,tata-binding protein-associated phosphoprotein,137,89.30%,2,C:nucleus; F:sequence-specific DNA binding,-
g108.t1,ketopantoate reductase family,325,76.30%,7,C:cytoplasm; F:oxidoreductase activity; F:NADP or NADPH binding; F:FMN binding; P:pantothenate biosynthetic process; F:heme binding; P:oxidation reduction,-
g1080.t1,sda1 domain-containing protein,732,86.65%,5,C:nucleolus; F:binding; P:traversing start control point of mitotic cell cycle; P:ribosome assembly; P:actin cytoskeleton organization,-
g10800.t1,Not Available,197,,0,-,
g10801.t1,short-chain dehydrogenase,250,73.45%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g10802.t1,Not Available,231,,0,-,
g10803.t1,hypothetical protein CH063_11837 [Colletotrichum higginsianum],228,63.00%,0,-,
g10804.t1,Not Available,382,,0,-,
g10805.t1,cytochrome c oxidase-assembly factor cox16,973,80.90%,4,P:protein complex assembly; P:aerobic respiration; C:mitochondrial inner membrane; C:integral to membrane,-
g10806.t1,Not Available,252,,0,-,
g10807.t1,prp38 family protein,397,87.35%,0,-,
g10808.t1,"hypothetical protein CH063_12558, partial [Colletotrichum higginsianum]",331,74.00%,0,-,
g10809.t1,glutamyl-trna a subunit,523,72.65%,3,P:translation; F:glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity; F:transferase activity,EC:6.3.5.7
g1081.t1,Not Available,378,,0,-,
g10810.t1,mannose-6-phosphate isomerase-like protein,429,46.40%,1,F:binding,-
g10811.t1,transmembrane bax inhibitor motif-containing protein,273,82.80%,1,C:integral to membrane,-
g10812.t1,Not Available,253,,0,-,
g10813.t1,Not Available,448,,0,-,
g10814.t1,septin,523,95.45%,3,F:GTP binding; P:cell cycle; C:septin complex,-
g10815.t1,phosphatidylinositol -bisphosphate-binding,1099,77.00%,0,-,
g10816.t1,u2 snrnp component ist3,782,82.25%,2,F:nucleic acid binding; F:nucleotide binding,-
g10817.t1,Not Available,214,,0,-,
g10818.t1,dynein light intermediate chain,1558,69.15%,1,F:motor activity,-
g10819.t1,26s proteasome regulatory subunit rpn5,919,88.70%,1,C:proteasome complex,-
g1082.t1,pyridoxine,240,70.50%,3,"F:transferase activity, transferring glycosyl groups; P:glutamine catabolic process; P:pyridoxal phosphate biosynthetic process",-
g10820.t1,sugar -lactone,523,73.15%,5,"F:FAD binding; P:biosynthetic process; F:D-arabinono-1,4-lactone oxidase activity; C:mitochondrial membrane; P:oxidation reduction",EC:1.1.3.37
g10821.t1,molybdenum cofactor synthesis protein 2b,471,82.30%,3,C:cytoplasm; P:Mo-molybdopterin cofactor biosynthetic process; F:transferase activity,-
g10822.t1,rna-binding protein,792,55.20%,4,F:zinc ion binding; F:nucleic acid binding; C:intracellular; F:nucleotide binding,-
g10823.t1,Not Available,265,,0,-,
g10824.t1,Not Available,327,,0,-,
g10825.t1,urea active transporter,384,75.85%,5,P:cellular nitrogen compound biosynthetic process; C:integral to membrane; P:sodium ion transport; P:transmembrane transport; F:transporter activity,-
g10826.t1,integral membrane,205,68.05%,0,-,
g10827.t1,protein,329,50.50%,4,F:metalloendopeptidase activity; P:proteolysis; C:extracellular matrix; F:zinc ion binding,EC:3.4.24.0
g10828.t1,Not Available,105,,0,-,
g10829.t1,Not Available,916,,0,-,
g1083.t1,Not Available,1477,,0,-,
g10830.t1,c2h2 transcription,1489,57.35%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g10831.t1,alcohol dehydrogenase,369,70.35%,3,F:zinc ion binding; P:oxidation reduction; F:aryl-alcohol dehydrogenase activity,EC:1.1.1.90
g10832.t1,cytochrome p450,544,83.90%,4,F:heme binding; F:monooxygenase activity; P:oxidation reduction; F:electron carrier activity,-
g10833.t1,a g-specific adenine glycosylase,666,63.70%,4,"F:endonuclease activity; P:base-excision repair; F:4 iron, 4 sulfur cluster binding; F:DNA binding",-
g10834.t1,Not Available,459,,0,-,
g10835.t1,Not Available,319,,0,-,
g10836.t1,plac8 family protein,189,61.65%,1,C:cellular_component,
g10837.t1,Not Available,324,,0,-,
g10838.t1,Not Available,126,,0,-,
g10839.t1,phosphoribosylaminoimidazole carboxylase,689,72.10%,4,F:ligase activity; F:phosphoribosylaminoimidazole carboxylase activity; P:'de novo' IMP biosynthetic process; F:ATP binding,EC:4.1.1.21
g1084.t1,pyridoxine biosynthesis protein,310,87.65%,5,P:pyridoxine biosynthetic process; P:pyridoxal phosphate biosynthetic process; F:catalytic activity; P:mycelium development; P:pathogenesis,-
g10840.t1,Not Available,580,,0,-,
g10841.t1,siderophore esterase -,322,54.85%,1,F:hydrolase activity,-
g10842.t1,siderophore iron transporter mira,603,68.55%,1,P:transmembrane transport,-
g10843.t1,Not Available,336,,0,-,
g10844.t1,hypothetical protein FOXB_03141 [Fusarium oxysporum Fo5176],96,63.00%,0,-,
g10845.t1,hypothetical protein TRIATDRAFT_78918 [Trichoderma atroviride IMI 206040],174,66.75%,0,-,
g10846.t1,Not Available,162,,0,-,
g10847.t1,Not Available,486,,0,-,
g10848.t1,allergen asp f4-,295,53.45%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10849.t1,Not Available,830,,0,-,
g1085.t1,vacuolar atp synthase subunit b,992,89.70%,6,"P:plasma membrane ATP synthesis coupled proton transport; F:hydrogen ion transporting ATP synthase activity, rotational mechanism; F:ATP binding; F:proton-transporting ATPase activity, rotational mechanism; P:ATP hydrolysis coupled proton transport; C:proton-transporting V-type ATPase, V1 domain",-
g10850.t1,major facilitator superfamily transporter,500,74.85%,4,P:transmembrane transport; C:cytoplasm; C:membrane; F:transmembrane transporter activity,-
g10851.t1,Not Available,377,,0,-,
g10852.t1,guanine nucleotide exchange factor,1235,70.05%,3,F:guanyl-nucleotide exchange factor activity; C:intracellular; P:regulation of small GTPase mediated signal transduction,-
g10853.t1,Not Available,128,,0,-,
g10854.t1,Not Available,422,,0,-,
g10855.t1,Not Available,154,,0,-,
g10856.t1,hypothetical protein FOXB_14199 [Fusarium oxysporum Fo5176],875,68.30%,0,-,
g10857.t1,Not Available,1021,,0,-,
g10858.t1,fad binding domain-containing protein,619,58.90%,3,F:FAD binding; F:oxidoreductase activity; P:oxidation reduction,-
g10859.t1,Not Available,209,,0,-,
g1086.t1,Not Available,1067,,0,-,
g10860.t1,Not Available,185,,0,-,
g10861.t1,Not Available,599,,0,-,
g10862.t1,serine threonine-protein kinase mak,776,80.75%,3,F:ATP binding; P:protein amino acid phosphorylation; F:protein serine/threonine kinase activity,EC:2.7.11.0
g10863.t1,hsp70 family chaperone,1022,87.30%,1,F:ATP binding,-
g10864.t1,Not Available,410,,0,-,
g10865.t1,pyruvate dehydrogenase kinase,450,83.25%,5,P:two-component signal transduction system (phosphorelay); F:two-component sensor activity; P:peptidyl-histidine phosphorylation; F:ATP binding; F:pyruvate dehydrogenase (acetyl-transferring) kinase activity,EC:2.7.11.2
g10866.t1,Not Available,387,,0,-,
g10867.t1,Not Available,509,,0,-,
g10868.t1,hypothetical protein GLRG_05238 [Glomerella graminicola M1.001],796,65.65%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10869.t1,mfs sugar transporter,618,75.55%,3,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport,-
g1087.t1,bzip transcription factor,582,63.10%,5,"F:transcription factor activity; F:sequence-specific DNA binding; F:protein dimerization activity; C:nucleus; P:regulation of transcription, DNA-dependent",-
g10870.t1,Not Available,270,,0,-,
g10871.t1,hypothetical protein GLRG_05241 [Glomerella graminicola M1.001],545,59.50%,0,-,
g10872.t1,Not Available,162,,0,-,
g10873.t1,Not Available,1048,,0,-,
g10874.t1,sphingosine-1-phosphate lyase,567,86.85%,3,F:pyridoxal phosphate binding; P:carboxylic acid metabolic process; F:carboxy-lyase activity,EC:4.1.1.0
g10875.t1,glycosyltransferase family 34 protein,314,70.25%,2,"F:transferase activity, transferring hexosyl groups; C:integral to membrane",EC:2.4.1.0
g10876.t1,ring finger domain-containing protein,324,67.20%,1,F:zinc ion binding,-
g10877.t1,Not Available,147,,0,-,
g10878.t1,golgi matrix protein,1420,74.80%,2,P:biological_process; C:cellular_component,
g10879.t1,hypothetical protein TRIVIDRAFT_68297 [Trichoderma virens Gv29-8],581,67.65%,0,-,
g1088.t1,Not Available,231,,0,-,
g10880.t1,chd5 domain-containing protein,215,72.25%,8,"C:integral to membrane; P:retrograde vesicle-mediated transport, Golgi to ER; P:cellular calcium ion homeostasis; C:GET complex; P:mitochondrion organization; P:endoplasmic reticulum unfolded protein response; P:protein amino acid glycosylation; C:endoplasmic reticulum membrane",-
g10881.t1,Not Available,186,,0,-,
g10882.t1,aspartic-type endopeptidase,525,59.65%,3,C:integral to membrane; P:proteolysis; F:aspartic-type endopeptidase activity,EC:3.4.23.0
g10883.t1,Not Available,474,,0,-,
g10884.t1,vacuolar amino acid transporter 2,594,74.05%,1,C:integral to membrane,-
g10885.t1,Not Available,271,,0,-,
g10886.t1,Not Available,321,,0,-,
g10887.t1,Not Available,338,,0,-,
g10888.t1,Not Available,242,,0,-,
g10889.t1,snf7 family protein,228,80.15%,1,P:protein transport,-
g1089.t1,hypothetical protein NCU07661 [Neurospora crassa OR74A],261,49.25%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10890.t1,translation machinery-associated protein,1263,89.40%,2,F:zinc ion binding; F:DNA binding,-
g10891.t1,rna annealing protein,533,73.05%,2,F:nucleic acid binding; F:nucleotide binding,-
g10892.t1,hypothetical protein FG05204.1 [Gibberella zeae PH-1],688,58.15%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10893.t1,betaine aldehyde dehydrogenase,489,61.80%,3,F:betaine-aldehyde dehydrogenase activity; P:betaine biosynthetic process; P:oxidation reduction,EC:1.2.1.8
g10894.t1,Not Available,218,,0,-,
g10895.t1,Not Available,405,,0,-,
g10896.t1,protein phosphatase 2c,942,77.85%,4,P:hyphal growth; P:metabolic process; F:catalytic activity; P:pathogenesis,-
g10897.t1,c4-dicarboxylate transporter,467,67.70%,2,P:transmembrane transport; C:integral to membrane,-
g10898.t1,Not Available,1197,,0,-,
g10899.t1,denn domain-containing protein,1018,86.50%,0,-,
g109.t1,Not Available,244,,0,-,
g1090.t1,extracellular dipeptidyl-peptidase dpp4,778,76.25%,6,C:membrane; C:extracellular region; P:proteolysis; F:serine-type endopeptidase activity; F:aminopeptidase activity; P:pathogenesis,EC:3.4.21.0; EC:3.4.11.0
g10900.t1,Not Available,677,,0,-,
g10901.t1,wd repeat domain-containing protein,662,83.70%,6,C:protein complex; C:actomyosin contractile ring; F:actin binding; P:actin filament bundle assembly; C:actin cortical patch; P:actin filament polymerization,-
g10902.t1,int1 protein,1424,68.60%,2,F:molecular_function; C:cellular_component,
g10903.t1,Not Available,860,,0,-,
g10904.t1,Not Available,150,,0,-,
g10905.t1,atp-dependent rna helicase dbp9,594,80.65%,5,C:nucleolus; F:ATP-dependent helicase activity; F:RNA binding; F:ATP binding; P:rRNA processing,-
g10906.t1,Not Available,643,,0,-,
g10907.t1,catalase,1247,76.70%,4,P:hydrogen peroxide catabolic process; F:heme binding; F:catalase activity; P:oxidation reduction,EC:1.11.1.6
g10908.t1,Not Available,656,,0,-,
g10909.t1,Not Available,443,,0,-,
g1091.t1,Not Available,666,,0,-,
g10910.t1,high-affinity nicotinic acid transporter,494,75.60%,1,P:transmembrane transport,-
g10911.t1,c2h2 transcription factor,858,56.65%,3,C:nucleus; F:DNA binding; F:zinc ion binding,-
g10912.t1,aminotransferase class-iii,456,56.80%,4,"F:pyridoxal phosphate binding; F:2,2-dialkylglycine decarboxylase (pyruvate) activity; P:metabolic process; F:4-aminobutyrate transaminase activity",EC:4.1.1.64; EC:2.6.1.19
g10913.t1,Not Available,194,,0,-,
g10914.t1,Not Available,589,,0,-,
g10915.t1,protein,860,53.75%,0,-,
g10916.t1,endo-beta- -d-xylanase precursor,227,78.75%,4,"P:xylan catabolic process; C:extracellular region; F:cellulose binding; F:endo-1,4-beta-xylanase activity",EC:3.2.1.8
g10917.t1,mfs transporter,630,64.10%,1,P:transmembrane transport,-
g10918.t1,pyroglutamyl peptidase type i,214,45.75%,1,P:proteolysis,-
g10919.t1,Not Available,349,,0,-,
g1092.t1,Not Available,794,,0,-,
g10920.t1,proline-specific permease,611,80.40%,3,C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport,-
g10921.t1,glycoside hydrolase family 61 protein,236,81.60%,5,"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process; C:extracellular region; P:interaction with host via protein secreted by type II secretion system; F:cellulose binding",EC:3.2.1.0
g10922.t1,Not Available,206,,0,-,
g10923.t1,Not Available,262,,0,-,
g10924.t1,mfs sugar,544,79.65%,4,C:integral to membrane; F:substrate-specific transmembrane transporter activity; P:transmembrane transport; P:carbohydrate transport,-
g10925.t1,Not Available,356,,0,-,
g10926.t1,Not Available,235,,0,-,
g10927.t1,sulfate permease 2,798,66.95%,4,C:integral to membrane; F:secondary active sulfate transmembrane transporter activity; P:sulfate transport; P:transmembrane transport,-
g10928.t1,Not Available,68,,0,-,
g10929.t1,dna-binding protein,320,78.35%,1,F:DNA binding,-
g1093.t1,quinate repressor,884,69.05%,9,"P:quinate metabolic process; F:3-dehydroquinate dehydratase activity; F:shikimate kinase activity; P:oxidation reduction; F:shikimate 5-dehydrogenase activity; P:regulation of transcription, DNA-dependent; F:DNA binding; F:ATP binding; C:cytoplasm",EC:4.2.1.10; EC:2.7.1.71; EC:1.1.1.25
g10930.t1,flavin-binding monooxygenase-like protein,621,65.60%,4,F:flavin-containing monooxygenase activity; F:FAD binding; P:oxidation reduction; F:NADP or NADPH binding,EC:1.14.13.8
g10931.t1,Not Available,156,,0,-,
g10932.t1,lathosterol oxidase,293,84.20%,5,P:fatty acid biosynthetic process; F:oxidoreductase activity; F:iron ion binding; C:integral to membrane; P:oxidation reduction,-
g10933.t1,alanine racemase,358,52.30%,3,"F:transcription factor activity; F:sequence-specific DNA binding; P:regulation of transcription, DNA-dependent",-
g10934.t1,tam domain methyltransferase,341,67.50%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g10935.t1,Not Available,833,,0,-,
g10936.t1,cytochrome p450,520,69.70%,4,F:heme binding; F:monooxygenase activity; P:oxidation reduction; F:electron carrier activity,-
g10937.t1,uracil phosphoribosyltransferase,805,60.95%,1,"F:transferase activity, transferring glycosyl groups",-
g10938.t1,Not Available,383,,0,-,
g10939.t1,palmitoyltransferase swf1,415,71.35%,4,C:endoplasmic reticulum membrane; F:acyltransferase activity; C:integral to membrane; F:zinc ion binding,-
g1094.t1,Not Available,639,,0,-,
g10940.t1,hsp90 co-chaperone aha1,608,83.70%,7,C:cytosol; F:heat shock protein binding; P:protein folding; F:chaperone binding; P:positive regulation of ATPase activity; F:ATPase activator activity; P:response to stress,-
g10941.t1,Not Available,250,,0,-,
g10942.t1,hypothetical protein GLRG_08790 [Glomerella graminicola M1.001],1169,65.25%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10943.t1,ras guanyl-nucleotide exchange factor,469,69.95%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10944.t1,poly polymerase,593,70.35%,4,P:RNA polyadenylation; F:RNA binding; F:polynucleotide adenylyltransferase activity; C:nucleus,EC:2.7.7.19
g10945.t1,Not Available,297,,0,-,
g10946.t1,Not Available,166,,0,-,
g10947.t1,Not Available,149,,0,-,
g10948.t1,misato segment ii myosin-like domain-containing protein,478,55.95%,4,C:protein complex; F:GTP binding; P:protein polymerization; C:mitochondrion,-
g10949.t1,Not Available,146,,0,-,
g1095.t1,quinic acid utilization activator,725,46.70%,6,"F:transcription factor activity; F:DNA binding; P:quinate metabolic process; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g10950.t1,fork head domain-containing protein,651,65.05%,11,"F:RNA polymerase II transcription factor activity, enhancer binding; F:double-stranded DNA binding; F:promoter binding; C:nuclear chromatin; C:transcription factor complex; F:sequence-specific DNA binding; F:transcription activator activity; F:transcription factor binding; F:specific transcriptional repressor activity; F:specific RNA polymerase II transcription factor activity; P:regulation of transcription factor activity",-
g10951.t1,Not Available,1543,,0,-,
g10952.t1,eukaryotic translation initiation factor 3 subunit clu1,1290,74.25%,2,P:translational initiation; F:translation initiation factor activity,-
g10953.t1,hypothetical protein FOXB_16052 [Fusarium oxysporum Fo5176],783,43.75%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10954.t1,Not Available,302,,0,-,
g10955.t1,Not Available,598,,0,-,
g10956.t1,ferric reductase like transmembrane component,705,77.10%,6,F:FAD binding; C:integral to membrane; F:oxidoreductase activity; F:iron ion binding; F:electron carrier activity; P:oxidation reduction,-
g10957.t1,yippee zinc-binding protein,868,90.85%,0,-,
g10958.t1,integral membrane protein,408,78.05%,4,C:Golgi membrane; F:sugar:hydrogen symporter activity; P:carbohydrate transport; C:integral to membrane,-
g10959.t1,hypothetical protein FOXB_16048 [Fusarium oxysporum Fo5176],475,67.95%,0,-,
g1096.t1,quinate dehydrogenase,945,78.50%,6,F:quinate 5-dehydrogenase activity; C:cytoplasm; P:quinate metabolic process; F:binding; P:oxidation reduction; F:shikimate 5-dehydrogenase activity,EC:1.1.1.24; EC:1.1.1.25
g10960.t1,Not Available,362,,0,-,
g10961.t1,Not Available,236,,0,-,
g10962.t1,nuclear pore complex protein an-nup82,1310,70.00%,0,-,
g10963.t1,Not Available,586,,0,-,
g10964.t1,nuclear cap binding protein subunit 2,251,84.80%,2,F:nucleic acid binding; F:nucleotide binding,-
g10965.t1,trafficking protein particle complex subunit 2,805,62.85%,2,C:intracellular; P:ER to Golgi vesicle-mediated transport,-
g10966.t1,Not Available,259,,0,-,
g10967.t1,histone h4,103,99.20%,5,C:nucleosome; P:mycelium development; F:DNA binding; P:nucleosome assembly; C:nucleus,-
g10968.t1,20s cyclosome subunit ( nuc2 cdc27),822,55.95%,1,F:binding,-
g10969.t1,duf788 domain-containing protein,291,69.75%,2,F:molecular_function; P:biological_process,
g1097.t1,quinate permease,897,82.00%,4,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:quinate metabolic process; P:transmembrane transport,-
g10970.t1,Not Available,202,,0,-,
g10971.t1,phosphatidylinositol 4-kinase pik1a,296,92.35%,5,"P:phosphoinositide phosphorylation; F:inositol or phosphatidylinositol kinase activity; F:binding; F:phosphotransferase activity, alcohol group as acceptor; P:phosphoinositide-mediated signaling",EC:2.7.1.0
g10972.t1,cation efflux family protein,393,66.95%,5,C:membrane; P:mycelium development; F:cation transmembrane transporter activity; P:cation transport; P:transmembrane transport,-
g10973.t1,Not Available,332,,0,-,
g10974.t1,Not Available,704,,0,-,
g10975.t1,hypothetical protein VDAG_08803 [Verticillium dahliae VdLs.17],869,55.25%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10976.t1,Not Available,482,,0,-,
g10977.t1,histone acetyltransferase subunit 4,1815,64.45%,2,P:mRNA processing; F:transferase activity,-
g10978.t1,prolyl oligopeptidase,707,72.00%,2,F:serine-type peptidase activity; P:proteolysis,-
g10979.t1,dimethyl-8-ribityllumazine synthase+B7,200,83.00%,3,F:riboflavin synthase activity; P:riboflavin biosynthetic process; C:riboflavin synthase complex,EC:2.5.1.9
g1098.t1,3-dehydroshikimate dehydratase,348,68.80%,3,P:quinate metabolic process; F:isomerase activity; F:lyase activity,-
g10980.t1,calcium-binding protein precursor cnx1,561,84.80%,4,P:protein folding; C:endoplasmic reticulum; F:unfolded protein binding; F:calcium ion binding,-
g10981.t1,Not Available,214,,0,-,
g10982.t1,hypothetical protein MAA_04216 [Metarhizium anisopliae ARSEF 23],203,60.50%,1,P:mycelium development,-
g10983.t1,Not Available,527,,0,-,
g10984.t1,dynamin central region,811,85.55%,3,F:GTP binding; P:GTP catabolic process; F:GTPase activity,-
g10985.t1,cytochrome c oxidase assembly protein cox19,103,70.50%,1,F:molecular_function,
g10986.t1,lim domain-containing protein,877,60.35%,1,F:zinc ion binding,-
g10987.t1,ubiquitin-like modifier,294,83.50%,2,F:molecular_function; C:cellular_component,
g10988.t1,nuclear pore complex protein nup107,1420,63.25%,2,C:nuclear pore; P:transport,-
g10989.t1,Not Available,189,,0,-,
g1099.t1,3-dehydroquinate dehydratase,338,80.05%,3,P:quinate metabolic process; F:3-dehydroquinate dehydratase activity; P:aromatic amino acid family biosynthetic process,EC:4.2.1.10
g10990.t1,hypothetical protein [Podospora anserina S mat+],541,52.75%,3,F:molecular_function; P:biological_process; C:cellular_component,
g10991.t1,f-box domain-containing protein,531,70.00%,0,-,
g10992.t1,Not Available,226,,0,-,
g10993.t1,v-atpase subunit c,1305,77.85%,3,"F:hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances; P:ATP hydrolysis coupled proton transport; C:proton-transporting V-type ATPase, V1 domain",EC:3.6.3.0
g10994.t1,adenylyl-sulfate kinase,210,87.50%,4,F:adenylylsulfate kinase activity; F:ATP binding; P:sulfate assimilation; P:phosphorylation,EC:2.7.1.25
g10995.t1,thioesterase family protein,294,74.25%,0,-,
g10996.t1,ribosome biogenesis protein mak21,1006,67.10%,5,"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process; F:binding; C:Noc1p-Noc2p complex; P:ribosomal large subunit assembly",EC:3.2.1.0
g10997.t1,prolyl-trna synthetase,761,64.55%,4,C:cytoplasm; F:proline-tRNA ligase activity; P:prolyl-tRNA aminoacylation; F:ATP binding,EC:6.1.1.15
g10998.t1,Not Available,136,,0,-,
g10999.t1,prolyl-trna synthetase,149,74.95%,3,P:protein folding; C:prefoldin complex; F:unfolded protein binding,-
g11.t1,amino acid,565,55.45%,1,C:integral to membrane,-
g110.t1,glucarate dehydratase,424,85.25%,3,F:metal ion binding; P:metabolic process; F:glucarate dehydratase activity,EC:4.2.1.40
g1100.t1,Not Available,112,,0,-,
g11000.t1,mfs sugar,391,69.00%,4,C:integral to membrane; F:substrate-specific transmembrane transporter activity; P:transmembrane transport; P:carbohydrate transport,-
g11001.t1,glucan -beta-glucosidase,471,69.90%,3,P:carbohydrate metabolic process; F:cation binding; F:cellulase activity,EC:3.2.1.4
g11002.t1,glycoside hydrolase family 61 protein,1065,76.40%,1,F:hydrolase activity,-
g11003.t1,Not Available,749,,0,-,
g11004.t1,nadh-ubiquinone oxidoreductase,338,91.05%,6,"P:photosynthesis, light reaction; F:iron ion binding; F:4 iron, 4 sulfur cluster binding; P:oxidation reduction; F:quinone binding; F:NADH dehydrogenase (ubiquinone) activity",EC:1.6.5.3
g11005.t1,fungal transcriptional regulatory protein,479,46.95%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g11006.t1,choline dehydrogenase,630,59.20%,3,"F:FAD binding; F:oxidoreductase activity, acting on CH-OH group of donors; P:alcohol metabolic process",-
g11007.t1,Not Available,301,,0,-,
g11008.t1,biotrophy-associated secreted protein 2,230,65.22%,1,F:ATP citrate synthase activity,EC:2.3.3.8
g11009.t1,arsenate reductase,516,80.10%,2,P:oxidation reduction; F:oxidoreductase activity,-
g1101.t1,Not Available,261,,0,-,
g11010.t1,acetyltransferase,187,65.05%,4,P:metabolic process; F:hydrolase activity; F:N-acetyltransferase activity; P:mycelium development,-
g11011.t1,arsenical-resistance protein,403,83.50%,3,F:bile acid:sodium symporter activity; C:integral to membrane; P:sodium ion transport,-
g11012.t1,Not Available,175,,0,-,
g11013.t1,dynamin family protein,467,45.60%,3,F:GTP binding; P:GTP catabolic process; F:GTPase activity,-
g11014.t1,o-methyltransferase,241,74.30%,2,F:O-methyltransferase activity; P:methylation,-
g11015.t1,cellulose-binding family ii,555,60.25%,5,"F:hydrolase activity, acting on ester bonds; F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:xylan catabolic process; F:polysaccharide binding; P:lipid metabolic process",EC:3.2.1.0
g11016.t1,sam dependent,289,68.70%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g11017.t1,mfs transporter,872,78.90%,1,P:transmembrane transport,-
g11018.t1,Not Available,568,,0,-,
g11019.t1,acetyl xylan esterase,286,75.65%,6,"F:hydrolase activity, hydrolyzing O-glycosyl compounds; C:extracellular region; F:cellulose binding; F:carboxylesterase activity; F:acetylxylan esterase activity; P:cellulose catabolic process",EC:3.2.1.0; EC:3.1.1.1; EC:3.1.1.72
g1102.t1,sterol desaturase family,331,65.40%,5,P:fatty acid biosynthetic process; F:oxidoreductase activity; F:iron ion binding; C:integral to membrane; P:oxidation reduction,-
g11020.t1,hypothetical protein THITE_2076806 [Thielavia terrestris NRRL 8126],387,61.75%,5,F:ATP binding; F:DNA binding; F:molecular_function; P:biological_process; C:cellular_component,
g11021.t1,Not Available,307,,0,-,
g11022.t1,fungal specific transcription factor domain-containing protein,712,67.80%,6,"F:transcription factor activity; F:copper ion binding; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g11023.t1,Not Available,386,,0,-,
g11024.t1,kynureninase,499,79.50%,6,P:mycelium development; P:NAD biosynthetic process; F:kynureninase activity; P:tryptophan catabolic process; C:cytoplasm; F:pyridoxal phosphate binding,EC:3.7.1.3
g11025.t1,Not Available,233,,0,-,
g11026.t1,indoleamine -dioxygenase pyrrole -dioxygenase,509,71.40%,4,"F:tryptophan 2,3-dioxygenase activity; F:heme binding; P:oxidation reduction; F:2,4'-dihydroxyacetophenone dioxygenase activity",EC:1.13.11.11; EC:1.13.11.41
